id_viagem;id_usuario;genero_usuario;ano_de_nacimiento;data_viagem;inicio_viagem;fim_viagem;id_origem;id_destino
41967007;4034121;M;1998;2025-12-01;00:01:03;00:08:37;72;202
41967008;4512423;M;2000;2025-12-01;00:01:50;00:12:26;49;368
41967009;1016020;M;1979;2025-12-01;00:03:04;00:17:57;34;16
41967010;4452275;M;1989;2025-12-01;00:03:19;00:15:42;34;14
41967011;4640045;M;2004;2025-12-01;00:04:28;00:15:46;268;2
41967012;4062312;M;1998;2025-12-01;00:04:44;00:32:29;291;165
41967013;4576572;M;2004;2025-12-01;00:05:35;00:15:46;268;2
41967014;1216611;M;1982;2025-12-01;00:05:52;00:17:40;63;15
41967015;520127;M;1991;2025-12-01;00:06:06;00:19:45;197;262
41967020;1424247;M;1975;2025-12-01;00:07:31;00:14:05;41;50
41967022;4613114;M;1988;2025-12-01;00:08:02;00:18:22;32;76
41967023;2756655;M;2001;2025-12-01;00:08:32;00:19:08;199;79
41967025;4034121;M;1998;2025-12-01;00:08:53;00:14:10;202;196
41967026;4055343;M;1972;2025-12-01;00:09:05;00:17:28;21;176
41967027;3367273;M;1985;2025-12-01;00:10:29;00:10:56;156;156
41967028;2332617;M;1970;2025-12-01;00:10:45;00:16:12;50;74
41967029;3367273;M;1985;2025-12-01;00:11:38;00:18:23;156;24
41967033;4564467;M;1996;2025-12-01;00:13:06;00:28:24;303;204
41967034;4515657;NULL;2002;2025-12-01;00:13:27;00:16:15;65;84
41967038;4562014;M;1987;2025-12-01;00:14:15;00:30:38;64;266
41967039;4034121;M;1998;2025-12-01;00:14:29;00:28:26;196;35
41967041;646500;M;1988;2025-12-01;00:15:22;00:21:05;55;6
41967042;4551515;F;1999;2025-12-01;00:15:42;00:21:05;55;6
41967044;4570526;M;2005;2025-12-01;00:16:57;00:25:07;268;376
41967045;3367273;M;1985;2025-12-01;00:18:43;00:29:33;24;156
41967046;2071730;M;1996;2025-12-01;00:20:40;00:29:14;64;64
41967047;4624466;F;2005;2025-12-01;00:21:34;00:29:25;64;64
41967048;646500;M;1988;2025-12-01;00:21:38;00:40:58;6;236
41967049;4575150;F;2002;2025-12-01;00:21:48;00:46:24;254;273
41967050;4575244;M;1996;2025-12-01;00:21:59;00:46:23;254;273
41967051;1066076;M;1967;2025-12-01;00:22:39;00:26:29;54;57
41967052;732710;M;1982;2025-12-01;00:23:01;00:24:53;51;52
41967053;4570476;M;1992;2025-12-01;00:23:31;00:30:51;49;11
41967054;4553737;M;2005;2025-12-01;00:23:56;00:39:39;249;181
41967055;1621202;M;1967;2025-12-01;00:24:03;00:27:03;50;51
41967057;2270305;M;1987;2025-12-01;00:24:43;00:47:33;400;228
41967060;4032375;M;2004;2025-12-01;00:26:29;00:35:47;385;8
41967063;4612507;M;1996;2025-12-01;00:26:07;00:40:56;395;23
41967064;1230502;M;2003;2025-12-01;00:26:24;00:40:59;395;23
41967065;732660;M;1986;2025-12-01;00:27:04;00:52:05;156;156
41967066;4514430;F;2004;2025-12-01;00:27:15;00:35:44;385;8
41967070;4034121;M;1998;2025-12-01;00:28:47;00:37:13;35;77
41967071;760741;M;1986;2025-12-01;00:28:57;00:40:19;371;371
41967072;4606277;M;2000;2025-12-01;00:31:16;00:42:42;383;383
41967073;677256;M;1993;2025-12-01;00:32:25;00:46:14;60;15
41967074;4062312;M;1998;2025-12-01;00:32:40;00:35:11;165;182
41967075;773176;M;1991;2025-12-01;00:33:43;00:57:11;106;115
41967076;1621202;M;1967;2025-12-01;00:36:13;00:47:22;51;173
41967077;4607630;NULL;1999;2025-12-01;00:36:45;00:45:54;72;79
41967078;357370;M;1990;2025-12-01;00:39:46;00:46:06;210;204
41967079;4630316;M;1999;2025-12-01;00:44:27;00:56:38;57;40
41967080;3561520;M;1999;2025-12-01;00:46:33;00:56:14;200;53
41967081;4506106;F;1970;2025-12-01;00:48:32;00:57:53;171;164
41967082;610651;M;2002;2025-12-01;00:48:51;00:51:18;272;397
41967083;631455;M;1990;2025-12-01;00:48:56;01:07:38;291;288
41967084;4532014;M;2006;2025-12-01;00:52:34;01:04:50;11;177
41967085;420225;M;1982;2025-12-01;00:55:45;01:06:45;11;11
41967089;4630316;M;1999;2025-12-01;00:57:08;01:22:42;40;58
41967090;1026625;F;1996;2025-12-01;00:58:08;01:28:12;63;179
41967191;4041327;F;2000;2025-12-01;05:00:46;05:08:35;25;157
41967193;4451657;M;1970;2025-12-01;05:01:21;05:13:56;339;118
41967194;641462;M;2000;2025-12-01;05:03:03;05:09:05;170;32
41967195;4605007;F;2001;2025-12-01;05:04:11;05:14:45;234;257
41967196;1535041;M;1976;2025-12-01;05:05:24;05:11:24;349;333
41967197;4573647;F;2000;2025-12-01;05:06:03;05:16:47;360;51
41967198;1627174;M;1996;2025-12-01;05:09:13;05:17:46;175;11
41967199;4571270;F;1992;2025-12-01;05:09:18;05:33:07;80;207
41967200;4550260;M;1974;2025-12-01;05:09:57;05:17:53;387;387
41967201;4453703;M;1973;2025-12-01;05:10:06;05:12:26;377;276
